listing_id,city,neighborhood,property_type,bedrooms,bathrooms,sqft,year_built,garage_spaces,has_pool,hoa_monthly_fee,list_price,zestimate,price_per_sqft,days_on_market,list_year
ZL100000,"Boston, MA",Jamaica Plain,Multi-Family,3,2.5,1551,1963.0,2,0,393.0,1004125,980794,647.4,21,2024
ZL100001,"Boston, MA",Dorchester,Condo,2,2.5,1268,1974.0,1,0,0.0,383674,350837,302.58,34,2022
ZL100002,"Boston, MA",Back Bay,Multi-Family,5,3.0,1879,2011.0,2,0,0.0,1929949,1973651,1027.11,3,2023
ZL100003,"Boston, MA",Roxbury,Single Family,4,2.0,1643,1995.0,2,1,0.0,732684,767519,445.94,19,2024
ZL100004,"Boston, MA",East Boston,Condo,2,1.5,1389,1995.0,1,0,468.0,513458,509203,369.66,1,2022
ZL100005,"Boston, MA",East Boston,Condo,1,2.0,1034,1991.0,0,0,54.0,440260,445482,425.78,15,2023
ZL100006,"Boston, MA",Dorchester,Condo,1,1.5,1211,1990.0,1,0,0.0,428415,430741,353.77,53,2023
ZL100007,"Boston, MA",East Boston,Condo,2,2.0,1552,1982.0,1,1,0.0,584344,601892,376.51,3,2023
ZL100008,"Boston, MA",West Roxbury,Single Family,3,2.0,1511,1991.0,2,0,0.0,887191,857167,587.15,9,2024
ZL100009,"Boston, MA",South End,Multi-Family,2,4.0,1194,1996.0,2,0,465.0,1030007,971235,862.65,26,2021
ZL100010,"Boston, MA",Fenway,Townhouse,3,4.0,1914,2016.0,2,1,452.0,1025694,1003696,535.89,16,2022
ZL100011,"Boston, MA",Jamaica Plain,Condo,4,3.0,2094,2013.0,1,1,51.0,1070981,1087961,511.45,6,2022
ZL100012,"Boston, MA",West Roxbury,Single Family,2,3.0,1427,1996.0,3,1,153.0,879367,885516,616.23,42,2024
ZL100013,"Boston, MA",Beacon Hill,Townhouse,2,2.0,1095,2013.0,0,0,0.0,885195,918497,808.4,19,2023
ZL100014,"Boston, MA",Dorchester,Multi-Family,3,2.0,1951,2018.0,2,1,,1212004,1201170,621.22,16,2022
ZL100015,"Boston, MA",Jamaica Plain,Multi-Family,5,3.0,2208,1988.0,2,1,372.0,1339569,1385457,606.69,5,2022
ZL100016,"Boston, MA",Mattapan,Single Family,3,3.5,1828,2011.0,2,1,457.0,841939,859284,460.58,8,2022
ZL100017,"Boston, MA",Allston/Brighton,Townhouse,4,2.0,2783,1994.0,2,0,363.0,1080531,1084069,388.26,14,2021
ZL100018,"Boston, MA",Charlestown,Condo,2,3.0,1702,1980.0,0,0,0.0,862024,898160,506.48,27,2023
ZL100019,"Boston, MA",Back Bay,Single Family,5,3.0,1872,2011.0,2,0,537.0,1666137,1644953,890.03,7,2023
ZL100020,"Boston, MA",East Boston,Condo,3,1.0,1314,1972.0,0,0,0.0,467547,467183,355.82,3,2022
ZL100021,"Boston, MA",Jamaica Plain,Condo,3,2.5,1376,1961.0,2,0,,515738,564176,374.81,43,2022
ZL100022,"Boston, MA",South Boston,Condo,2,2.5,1933,2021.0,3,0,0.0,929467,913907,480.84,72,2022
ZL100023,"Boston, MA",East Boston,Condo,3,2.0,1582,1986.0,0,0,0.0,569103,599298,359.74,61,2023
ZL100024,"Boston, MA",Allston/Brighton,Single Family,2,2.5,1445,1984.0,1,0,0.0,797298,748025,551.76,30,2023
ZL100025,"Boston, MA",South Boston,Townhouse,2,4.0,1189,2010.0,2,0,518.0,766159,765721,644.37,3,2023
ZL100026,"Boston, MA",South End,Condo,1,2.5,1433,1992.0,2,0,302.0,715478,674281,499.29,4,2021
ZL100027,"Boston, MA",South End,Condo,2,2.5,1304,2018.0,1,0,0.0,897053,890334,687.92,20,2024
ZL100028,"Boston, MA",Charlestown,Condo,2,2.0,1797,2014.0,2,0,0.0,1143182,1174740,636.16,30,2024
ZL100029,"Boston, MA",Back Bay,Multi-Family,1,3.5,1089,2003.0,2,0,0.0,1204154,1166921,1105.74,77,2024
ZL100030,"Boston, MA",Jamaica Plain,Townhouse,4,4.0,1784,1970.0,2,0,365.0,768134,709365,430.57,5,2022
ZL100031,"Boston, MA",South End,Multi-Family,4,3.5,1910,2013.0,0,0,423.0,1913627,1903500,1001.9,45,2023
ZL100032,"Boston, MA",Roxbury,Condo,5,3.0,2001,1997.0,3,1,486.0,697258,723032,348.45,2,2022
ZL100033,"Boston, MA",Beacon Hill,Condo,2,2.0,1603,2019.0,2,0,103.0,1164047,1144210,726.17,15,2024
ZL100034,"Boston, MA",Roxbury,Condo,3,3.0,1897,2020.0,2,0,0.0,720951,713181,380.05,87,2023
ZL100035,"Boston, MA",Jamaica Plain,Condo,4,3.5,1999,1975.0,3,0,0.0,775655,773931,388.02,14,2024
ZL100036,"Boston, MA",Dorchester,Condo,3,2.0,1382,2011.0,2,1,0.0,560091,541820,405.28,46,2023
ZL100037,"Boston, MA",Dorchester,Condo,2,2.5,1260,2011.0,3,1,0.0,444433,465848,352.72,2,2021
ZL100038,"Boston, MA",Beacon Hill,Condo,2,2.5,1021,1999.0,1,0,0.0,721954,718259,707.1,1,2023
ZL100039,"Boston, MA",Fenway,Condo,1,2.0,951,1981.0,2,0,160.0,454082,470095,477.48,35,2022
ZL100040,"Boston, MA",Roxbury,Condo,2,3.5,1046,2001.0,0,0,,351976,363203,336.5,60,2022
ZL100041,"Boston, MA",Dorchester,Townhouse,4,3.0,1856,2003.0,2,0,0.0,795183,810913,428.44,76,2023
ZL100042,"Boston, MA",Fenway,Condo,2,2.5,1237,1991.0,3,0,0.0,505016,553293,408.26,2,2021
ZL100043,"Boston, MA",West Roxbury,Townhouse,3,3.5,1458,2023.0,0,1,0.0,785186,779243,538.54,29,2022
ZL100044,"Boston, MA",Roslindale,Townhouse,3,2.0,1542,2016.0,2,0,0.0,794795,735633,515.43,11,2023
ZL100045,"Boston, MA",Back Bay,Condo,3,2.0,1859,1991.0,2,1,469.0,1111076,1133857,597.67,47,2023
ZL100046,"Boston, MA",Hyde Park,Single Family,2,3.0,1810,1970.0,2,0,64.0,793864,780291,438.6,11,2023
ZL100047,"Boston, MA",East Boston,Townhouse,3,2.0,1471,1992.0,2,1,445.0,654777,676661,445.12,12,2022
ZL100048,"Boston, MA",Fenway,Townhouse,3,1.5,1459,1965.0,2,1,0.0,702217,713981,481.3,3,2021
ZL100049,"Boston, MA",Beacon Hill,Condo,2,3.0,1302,1981.0,3,1,0.0,774932,782560,595.19,12,2024
ZL100050,"Boston, MA",Back Bay,Multi-Family,2,2.5,1659,1987.0,2,1,0.0,1424139,1378617,858.43,6,2022
ZL100051,"Boston, MA",Roxbury,Single Family,3,2.0,1568,2020.0,2,0,0.0,859144,821097,547.92,2,2022
ZL100052,"Boston, MA",Hyde Park,Single Family,2,1.0,1192,2020.0,3,1,,663900,683064,556.96,36,2023
ZL100053,"Boston, MA",Roslindale,Single Family,3,2.0,1327,1969.0,1,0,0.0,610522,621371,460.08,40,2022
ZL100054,"Boston, MA",East Boston,Townhouse,4,1.5,1902,2012.0,1,1,0.0,1090693,1069946,573.45,22,2024
ZL100055,"Boston, MA",West Roxbury,Condo,5,3.0,2283,1971.0,2,0,0.0,896354,908316,392.62,5,2023
ZL100056,"Boston, MA",South End,Townhouse,5,2.5,1895,1955.0,2,0,0.0,1132028,1214029,597.38,3,2024
ZL100057,"Boston, MA",Fenway,Condo,3,2.0,1604,2008.0,2,0,0.0,864069,872956,538.7,12,2023
ZL100058,"Boston, MA",East Boston,Condo,2,2.0,1735,1988.0,2,1,0.0,637099,644687,367.2,15,2023
ZL100059,"Boston, MA",West Roxbury,Multi-Family,2,2.5,970,2000.0,2,0,,552703,513338,569.8,27,2022
ZL100060,"Boston, MA",Back Bay,Single Family,2,3.0,1454,1968.0,2,1,534.0,1423501,1397664,979.02,32,2024
ZL100061,"Boston, MA",Mattapan,Multi-Family,1,3.0,1348,2021.0,2,0,0.0,722835,726704,536.23,1,2022
ZL100062,"Boston, MA",Back Bay,Condo,3,2.5,1291,2005.0,2,0,413.0,967152,973938,749.15,48,2023
ZL100063,"Boston, MA",Dorchester,Condo,4,2.0,2167,1999.0,0,0,0.0,910037,903779,419.95,2,2024
ZL100064,"Boston, MA",Fenway,Condo,1,2.0,1624,1951.0,3,0,0.0,664334,612949,409.07,8,2023
ZL100065,"Boston, MA",South Boston,Townhouse,1,2.0,888,2019.0,3,0,359.0,800473,779215,901.43,5,2024
ZL100066,"Boston, MA",Beacon Hill,Condo,2,3.0,1276,2022.0,3,0,0.0,922601,928861,723.04,58,2024
ZL100067,"Boston, MA",East Boston,Townhouse,1,3.5,1189,2018.0,0,1,219.0,534354,519048,449.41,15,2023
ZL100068,"Boston, MA",South End,Condo,2,2.0,1391,1967.0,0,1,89.0,788583,817208,566.92,26,2022
ZL100069,"Boston, MA",Roxbury,Multi-Family,3,2.5,1618,2018.0,1,1,405.0,822621,813781,508.42,9,2022
ZL100070,"Boston, MA",West Roxbury,Multi-Family,1,3.0,1097,2013.0,2,0,0.0,663412,656823,604.75,38,2022
ZL100071,"Boston, MA",Jamaica Plain,Single Family,4,1.5,1671,1987.0,1,1,327.0,932339,923524,557.95,11,2021
ZL100072,"Boston, MA",Charlestown,Townhouse,1,2.5,1488,1961.0,3,1,276.0,785818,766044,528.1,80,2024
ZL100073,"Boston, MA",Roslindale,Condo,1,1.5,1147,2000.0,2,1,133.0,526001,528266,458.59,8,2024
ZL100074,"Boston, MA",South End,Condo,5,2.0,1723,1987.0,3,0,0.0,1188002,1128528,689.5,12,2024
ZL100075,"Boston, MA",South Boston,Single Family,4,3.0,2180,2014.0,0,1,0.0,1951560,2055316,895.21,4,2024
ZL100076,"Boston, MA",Allston/Brighton,Condo,2,2.5,1432,1986.0,2,0,323.0,555978,563283,388.25,9,2024
ZL100077,"Boston, MA",Hyde Park,Multi-Family,4,3.0,1801,2014.0,2,0,0.0,933273,899234,518.2,1,2021
ZL100078,"Boston, MA",Charlestown,Single Family,1,2.0,1238,2011.0,1,0,366.0,917296,919483,740.95,5,2024
ZL100079,"Boston, MA",Allston/Brighton,Townhouse,2,3.0,1238,1967.0,2,0,0.0,616914,621790,498.32,14,2024
ZL100080,"Boston, MA",South End,Multi-Family,2,4.0,1142,2015.0,2,0,598.0,1044033,1045620,914.21,16,2023
ZL100081,"Boston, MA",Back Bay,Single Family,2,2.0,1430,2018.0,1,1,0.0,1284633,1365512,898.34,10,2023
ZL100082,"Boston, MA",Back Bay,Condo,3,2.5,1759,2023.0,1,0,70.0,1275821,1296317,725.31,10,2022
ZL100083,"Boston, MA",Fenway,Multi-Family,2,3.0,1228,2001.0,1,0,0.0,836096,871626,680.86,16,2022
ZL100084,"Boston, MA",East Boston,Condo,4,1.5,1808,1983.0,2,0,0.0,636919,653451,352.28,5,2021
ZL100085,"Boston, MA",South End,Single Family,3,3.0,1262,2000.0,1,0,0.0,1100118,1157268,871.73,45,2024
ZL100086,"Boston, MA",Back Bay,Single Family,3,3.5,1629,1960.0,3,0,266.0,919117,914205,564.22,95,2021
ZL100087,"Boston, MA",East Boston,Single Family,1,2.0,1461,2012.0,3,0,242.0,794647,773963,543.91,13,2022
ZL100088,"Boston, MA",Dorchester,Condo,4,2.5,2096,1982.0,2,0,0.0,809583,757333,386.25,12,2023
ZL100089,"Boston, MA",Hyde Park,Single Family,2,1.5,1632,2009.0,3,0,414.0,867740,894390,531.7,51,2024
ZL100090,"Boston, MA",Back Bay,Condo,2,2.0,1178,1999.0,1,0,0.0,817076,763780,693.61,11,2022
ZL100091,"Boston, MA",Roxbury,Townhouse,3,2.5,1652,2017.0,1,0,0.0,707767,718526,428.43,11,2023
ZL100092,"Boston, MA",Charlestown,Townhouse,3,2.0,1988,1986.0,1,0,0.0,1296165,1264986,651.99,3,2023
ZL100093,"Boston, MA",South Boston,Condo,4,2.5,1899,1961.0,3,0,570.0,956819,977612,503.85,38,2023
ZL100094,"Boston, MA",South Boston,Townhouse,3,2.0,1877,2018.0,2,0,488.0,1233434,1259304,657.13,37,2023
ZL100095,"Boston, MA",South End,Single Family,3,2.5,1426,,3,0,0.0,1193578,1113115,837.01,16,2022
ZL100096,"Boston, MA",Charlestown,Townhouse,3,2.0,1652,1986.0,2,0,0.0,1034774,1036184,626.38,20,2023
ZL100097,"Boston, MA",Fenway,Condo,4,2.5,1627,2003.0,2,0,0.0,808658,769530,497.02,114,2022
ZL100098,"Boston, MA",South End,Multi-Family,3,3.0,1528,1997.0,1,1,564.0,1333859,1305372,872.94,1,2024
ZL100099,"Boston, MA",South Boston,Condo,4,2.5,1468,2008.0,2,0,0.0,719328,729734,490.01,39,2021
ZL100100,"Boston, MA",Charlestown,Condo,3,3.0,1658,2019.0,2,0,0.0,894553,878859,539.54,34,2022
ZL100101,"Boston, MA",Roslindale,Townhouse,2,1.5,1691,1996.0,2,1,302.0,651697,685925,385.39,82,2022
ZL100102,"Boston, MA",East Boston,Townhouse,2,2.5,1133,1994.0,0,1,61.0,456643,423720,403.04,1,2021
ZL100103,"Boston, MA",South End,Condo,2,2.5,1238,2009.0,0,0,0.0,668064,666389,539.63,116,2022
ZL100104,"Boston, MA",Hyde Park,Condo,2,3.0,1780,1983.0,1,0,0.0,636439,601641,357.55,6,2022
ZL100105,"Boston, MA",Roslindale,Townhouse,4,1.0,1763,1997.0,1,0,291.0,760586,772506,431.42,17,2023
ZL100106,"Boston, MA",Back Bay,Condo,2,2.5,964,1975.0,1,0,0.0,512389,494459,531.52,44,2021
ZL100107,"Boston, MA",South Boston,Townhouse,2,3.0,830,1998.0,2,1,0.0,512651,531544,617.65,23,2022
ZL100108,"Boston, MA",West Roxbury,Single Family,5,2.0,2228,2016.0,2,0,415.0,1300454,1268676,583.69,1,2021
ZL100109,"Boston, MA",Roslindale,Single Family,3,1.5,1908,2002.0,2,0,0.0,1005513,1034050,527.0,83,2024
ZL100110,"Boston, MA",Dorchester,Multi-Family,2,1.5,1147,2001.0,2,0,0.0,703319,673925,613.18,17,2024
ZL100111,"Boston, MA",South Boston,Condo,2,2.0,908,2019.0,2,1,579.0,588152,574434,647.74,44,2023
ZL100112,"Boston, MA",Hyde Park,Condo,2,1.0,1681,1986.0,0,0,485.0,548953,549622,326.56,29,2023
ZL100113,"Boston, MA",Roxbury,Condo,3,2.0,1237,2005.0,1,0,178.0,441936,457849,357.26,32,2023
ZL100114,"Boston, MA",Beacon Hill,Multi-Family,3,2.0,1799,2007.0,2,0,283.0,1888141,1778639,1049.55,11,2023
ZL100115,"Boston, MA",West Roxbury,Multi-Family,2,2.0,1123,2012.0,2,0,0.0,717639,759468,639.04,12,2024
ZL100116,"Boston, MA",Jamaica Plain,Multi-Family,3,3.0,1555,2012.0,2,0,237.0,963103,931582,619.36,15,2021
